cs,ds,sorting,types of sorting,complexities,gfg link
cs,ds,binarytree,red black,gfg link
cs,ds,binarytree,avl,gfg link
cs,algorithms,search,binary search,complexities,lecture notes
algorithms,dp,knapsack,0-1 knapsack,complexities,gfg link
algorithms,dp,longest common subsequence,lcs derivation,gfg link
algorithms,greedy,activity selection,proof sketch,gfg link
algorithms,graphs,representation,adjacency list,gfg link
graphs,traversal,dfs,recursive dfs,analysis,blog post
graphs,traversal,bfs,shortest unweighted,gfg link
graphs,shortest path,dijkstra,min-heap implementation,complexities,gfg link
graphs,shortest path,bellman ford,negative edges,analysis,gfg link
graphs,algorithms,topological sort,dag,applications,notes
graphs,algorithms,tarjan,scc,proof,gfg link
algorithms,complexity,nP,NP-complete,reductions,lecture notes
theory,automata,regular expressions,nfa to dfa,examples,gfg link
theory,logic,boolean algebra,karnaugh map,optimization,cheatsheet
cs,programming,c++ basics,headers,compilation,guides
programming,c++ advanced,templates,meta programming,tutorial
programming,stl,vector,list,map,usage examples,cppreference
programming,debugging,gdb,breakpoints,watchpoints,tutorial
os,processes,threads,context switch,performance,lecture notes
os,concurrency,mutex,deadlock prevention,examples,gfg link
concurrency,parallelism,openMP,practical tips,benchmarks,article
os,scheduling,round robin,priority scheduling,analysis,notes
databases,sql,joins,inner join vs outer join,examples,gfg link
databases,transactions,ACID,consistency,examples,blog post
databases,storage,indexing,B-tree,B+ tree comparison,gfg link
databases,query planning,joins,hash join,merge join,notes
data engineering,etl,pipelines,airflow,dag scheduling,docs
networks,layered model,tcp/ip,handshake,tutorial,gfg link
networks,protocols,http,rest api,methods,cheatsheet
web,api,rest,json,serialization,examples,blog post
web,api,authentication,oauth2,jwt,security notes
security,crypto,hashing,sha256,properties,article
crypto,asymmetric,rsa,key generation,math notes
math,probability,bayes theorem,examples,lecture notes
ml,supervised,regression,linear regression,loss functions,notebook
ml,supervised,classifcation,logistic regression,regularization,article
ml,neural networks,perceptron,activation functions,notes,gfg link
ml,deep learning,backprop,gradients,optimizers,tutorial
ml,optimization,sgd,momentum,adam,practical guide
statistics,descriptive,mean median mode,examples,cheatsheet
statistics,inferential,hypothesis testing,p-values,notes,gfg link
algorithms,search,binary search tree,insertion,deletion,analysis
ds,trees,traversal,inorder preorder postorder,applications,notes
ds,trees,segment tree,range queries,implementation,gfg link
ds,trees,fenwick tree,bit indexed tree,prefix sums,article
ds,hashing,hash table,chaining open addressing,complexities,guide
ds,heap,priority queue,heapify,applications,notes
algorithms,sorting,quick sort,partition schemes,analysis,gfg link
algorithms,sorting,merge sort,divide and conquer,stability,article
algorithms,sorting,heap sort,in-place,complexities,notes
algorithms,sorting,radix sort,non-comparison sort,applications,blog
cs,theory,complexity classes,P vs NP,open problem,papers,discussion
cs,theory,reductions,subset sum,to knapsack,examples,notes
software,engineering,design patterns,singleton,usage,anti-patterns
software,engineering,design patterns,observer,event driven,examples
software,engineering,architecture,microservices,pros cons,case study
system design,scaling,caching,LRU eviction,cache invalidation,article
system design,scaling,load balancing,round robin sticky sessions,notes
distributed,consensus,raft,leader election,implementation,blog post
distributed,consistency,CAP theorem,tradeoffs,examples,lecture notes
distributed,storage,replication,sharding,partitioning,guide
os,virtualization,containers,docker images,layering,docs
devops,ci/cd,jenkins,pipelines,examples,article
devops,ci/cd,github actions,workflows,examples,docs
monitoring,logging,elk,logstash reading,examples,guide
monitoring,metrics,prometheus,alerts,exporters,docs
testing,unit tests,gtest,assertions,examples,guide
testing,integration tests,mocks,stubs,patterns,notes
programming,paradigms,functional programming,immutable data,examples
